sub_id,name,type,bus1,bus2,W1,W2,latitude,longitude,gic
164559287,T1710,GY-GY,1926,1925,0.04,0.06,33.74023657351354,-86.55796911209598,"{'i_w1': 16.841947324098022, 'i_w2': 3.7496420514946576}"
890472562,T1711,GY-D,6737,6738,0.05,0.1,43.20782780896254,-95.58168815572536,{'i_k': -31.836986561718856}
497970822,T1712,GY-D,5285,5286,0.05,0.1,32.931999552942344,-80.13499886722691,{'i_k': 4.170645979345892}
178686309,T1713,GY-D,3123,3124,0.05,0.1,37.907469209041935,-87.72178847593935,{'i_k': 7.2002496731437}
1111901665,T1714,Auto,560,559,0.04,0.06,35.37715123724459,-99.71974003444366,"{'i_s': -4.0823456004535075e-07, 'i_c': 3.384978667801384}"
89871296,T1715,GY-D,6815,6816,0.05,0.1,39.71802028838189,-79.93355476255307,{'i_k': -1.9019648971699277}
184689404,T1716,GY-D,3459,3460,0.05,0.1,35.058364563825826,-78.27990744671882,{'i_k': -12.589750652239273}
160753134,T1717,GY-D,1757,1758,0.05,0.1,26.125029800603283,-80.25128995028918,{'i_k': 0.0}
94783953,T1718,GY-D,6971,6972,0.05,0.1,40.59294928094379,-74.67341768479936,{'i_k': 50.92198840794846}
128236112,T1719,GY-D,955,956,0.05,0.1,27.285449504729467,-80.48055304549936,{'i_k': 1.1414576515484682}
175921874,T1720,GY-D,2941,2942,0.05,0.1,41.08662409300096,-74.14609071666204,{'i_k': 68.6130719863988}
45589711,T1721,GY-D,5079,5080,0.05,0.1,27.551859893623345,-82.45772965755418,{'i_k': 0.1691243546530868}
139664477,T1722,GY-D,1201,1202,0.05,0.1,30.72447705421859,-91.36801669913793,{'i_k': 0.9616505837994539}
140172255,T1723,GY-D,1251,1252,0.05,0.1,41.28798141100321,-72.90435324000586,{'i_k': 8.19317113229188}
89646000,T1724,GY-D,6801,6802,0.05,0.1,41.53776623771762,-87.28252543555688,{'i_k': 23.43316614021407}
230526306,T1725,GY-D,4065,4066,0.05,0.1,26.27406969044789,-81.7563696352797,{'i_k': 0.5566664989696968}
186670176,T1726,GY-D,3711,3712,0.05,0.1,30.45046115569753,-90.5735499567914,{'i_k': 0.5269500692099319}
14605484,T1727,GY-D,1361,1362,0.05,0.1,34.1540222561134,-77.93808666649127,{'i_k': -1.2759844332548103}
171591232,T1728,GY-D,2519,2520,0.05,0.1,38.82850166014021,-99.30090365085584,{'i_k': -0.007575506643566918}
165362668,T1729,GY-D,1979,1980,0.05,0.1,30.67300489084643,-91.37125780271076,{'i_k': 0.0}
187491040,T1730,GY-D,3831,3832,0.05,0.1,31.060874371676736,-92.45608006952357,{'i_k': 0.5381546173321151}
180059926,T1731,GY-D,3183,3184,0.05,0.1,33.7491787999229,-84.49854107247774,{'i_k': 4.29933950389031}
785215536,T1732,GY-D,6307,6308,0.05,0.1,40.008596311910665,-75.1147938178325,{'i_k': 0.0}
186363006,T1733,GY-D,3641,3642,0.05,0.1,30.772372186657,-88.12871657555075,{'i_k': 0.0}
171571431,T1734,GY-D,2499,2500,0.05,0.1,34.40150335020477,-83.70074765114802,{'i_k': -8.398067881729162}
285152710,T1735,GY-D,4249,4250,0.05,0.1,42.25486587165849,-88.30225607211571,{'i_k': 57.01359694607944}
82202437,T1736,GY-D,6483,6484,0.05,0.1,36.78420868981746,-76.60231317622915,{'i_k': 3.948786608250924}
32447285,T1737,GY-D,4381,4382,0.05,0.1,35.790911077862376,-78.68243024377159,{'i_k': -7.164530640849991}
35090698,T1738,GY-D,4583,4584,0.05,0.1,27.622803750215184,-82.54060019999693,{'i_k': 0.78600351185706}
183670549,T1739,GY-D,3399,3400,0.05,0.1,41.196420387408864,-76.8606885413357,{'i_k': 0.6569803201237063}
1167459073,T1740,GY-D,667,668,0.05,0.1,40.98111323282215,-76.83212519528892,{'i_k': 0.4447851720519492}
143884839,T1741,GY-D,1315,1316,0.05,0.1,25.729147500453266,-80.45322015026565,{'i_k': 0.0}
164511228,T1742,GY-D,1913,1914,0.05,0.1,32.00518093351719,-91.0441485986112,{'i_k': 2.734372929917917}
1155341614,T1743,GY-D,629,630,0.05,0.1,40.10696292533216,-86.08008269083417,{'i_k': -8.199813871932786}
